Generation	Performance	Genome
0	5.53247167573	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
1	5.53247167573	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
2	6.5459170982	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, 3.63]
3	6.75797757784	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, 0.43]
4	6.77700440725	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -3.4499999999999997]
5	6.77700440725	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -3.4499999999999997]
6	6.81839041305	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -3.57]
7	6.81839041305	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -3.57]
8	6.85772655325	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -1.8900000000000001]
9	6.85772655325	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -1.8900000000000001]
10	6.85772655325	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -1.8900000000000001]
11	6.85772655325	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -1.8900000000000001]
12	6.85772655325	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -1.8900000000000001]
13	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
14	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
15	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
16	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
17	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
18	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
19	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
20	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
21	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
22	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
23	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
24	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
25	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
26	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
27	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
28	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
29	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
30	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
31	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
32	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
33	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
34	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
35	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
36	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
37	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
38	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
39	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
40	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
41	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
42	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
43	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
44	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
45	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
46	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
47	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
48	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
49	6.86470187192	[17.25, 0.68, 0.2, 0.78, -0.6900000000000001, -7.25]
