Generation	Performance	Genome
0	5.43848286347	[17.257, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
1	5.49395009051	[17.257, 0.6826, 0.2037, 0.7832, 0.5623, 3.0]
2	5.5162245526	[17.257, 0.6826, 0.2037, 0.7832, 0.5623, 3.6087]
3	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
4	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
5	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
6	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
7	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
8	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
9	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
10	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
11	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
12	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
13	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
14	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
15	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
16	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
17	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
18	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
19	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
20	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
21	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
22	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
23	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
24	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
25	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
26	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
27	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
28	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
29	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
30	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
31	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
32	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
33	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
34	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
35	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
36	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
37	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
38	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
39	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
40	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
41	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
42	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
43	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
44	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
45	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
46	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
47	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
48	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
49	5.69295995084	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
